Flight_ID,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Travel_Purpose,Seat_Class,Flight_Satisfaction_Score,Delay_Minutes,No_Show,Weather_Impact
F68,JFK,ATL,3/27/2024 6:22,161,On-time,803,Emergency,Business,6.9,0,1,1
F1687,JFK,DFW,12/28/2024 9:18,130,On-time,1605,Family,Business,5.3,2,0,0
F1745,ORD,ORD,5/23/2024 23:28,169,On-time,908,Business,Economy,7,0,0,0
F1514,SEA,ORD,10/31/2023 8:09,227,On-time,63,Leisure,Business,4.8,9,0,1
F1753,LAX,JFK,1/17/2025 22:21,150,On-time,628,Family,Economy,4.4,3,0,0
F1928,SFO,LAX,2/15/2025 1:17,155,On-time,1409,Emergency,Business,4.4,11,0,0
F532,ATL,SEA,10/30/2024 14:20,170,On-time,794,Emergency,Economy,4.9,17,0,0
F857,DFW,LAX,11/12/2023 13:05,82,On-time,1273,Emergency,Business,3.5,11,0,0
F16,ATL,SEA,11/16/2023 0:44,191,On-time,1196,Emergency,Economy,8.2,16,0,0
F473,DEN,JFK,4/18/2025 1:27,201,On-time,1115,Emergency,Economy,4.5,1,0,1
F960,SEA,SFO,4/29/2024 10:38,245,On-time,818,Business,Business,8.5,4,0,0
F170,DFW,ATL,6/20/2023 14:41,101,On-time,1148,Business,Premium Economy,7.9,7,0,0
F1171,DFW,ORD,2/28/2024 1:57,108,Delayed,1167,Emergency,Economy,5.4,13,0,0
F1788,DEN,JFK,9/18/2024 7:37,237,On-time,1544,Business,Economy,5.1,3,0,0
F377,JFK,DEN,5/13/2024 12:05,188,On-time,596,Business,Business,4.1,8,0,0
F484,SEA,SEA,5/12/2023 20:15,228,On-time,1256,Business,Business,7.5,3,0,0
F1631,DFW,ORD,10/19/2023 19:34,85,On-time,1012,Emergency,Premium Economy,6.5,11,0,0
F170,DFW,DEN,4/13/2024 1:27,232,On-time,1196,Family,Premium Economy,7.9,12,0,0
F478,DFW,SFO,1/26/2024 1:03,167,Delayed,1240,Emergency,Economy,7.9,4,0,0
F362,ATL,JFK,9/19/2024 0:55,83,On-time,1387,Leisure,Economy,4.9,2,0,0
F1143,ATL,LAX,11/16/2023 21:04,248,On-time,1004,Emergency,Premium Economy,10,4,0,0
F39,ORD,DEN,8/24/2023 21:38,229,On-time,1278,Family,Economy,3,9,1,1
F1663,SFO,SEA,2/11/2025 7:57,87,On-time,902,Business,Economy,3.9,3,0,0
F290,LAX,SEA,5/25/2023 0:18,256,Cancelled,1328,Leisure,Economy,8.4,16,0,0
F888,ORD,JFK,8/6/2023 21:18,238,On-time,959,Leisure,Economy,4.5,6,0,0
F1447,ORD,LAX,5/26/2024 10:14,138,On-time,1397,Leisure,Economy,6.7,6,0,0
F47,ATL,LAX,2/6/2025 21:23,117,On-time,1059,Leisure,Premium Economy,6.9,14,0,0
F556,SEA,SEA,6/30/2023 13:32,169,On-time,1403,Business,Economy,5.9,7,0,0
F427,SFO,DFW,1/13/2025 20:17,192,On-time,1096,Emergency,Economy,4,2,0,1
F939,DEN,LAX,6/6/2023 21:53,145,On-time,1272,Family,Economy,6.6,11,0,0
F922,ORD,ATL,12/11/2023 9:10,100,Cancelled,1615,Leisure,Economy,5.2,7,0,0
F127,DEN,JFK,3/20/2024 19:22,224,On-time,875,Business,Economy,9.1,2,0,0
F602,SFO,LAX,9/19/2024 7:53,241,Delayed,1188,Leisure,Economy,5.7,0,0,0
F186,LAX,ATL,7/6/2023 20:34,115,On-time,1622,Family,Premium Economy,6.5,14,0,1
F699,ORD,SFO,1/9/2024 11:27,146,On-time,1435,Family,Economy,7.8,0,0,0
F215,LAX,DFW,1/30/2024 2:16,218,On-time,2558,Family,Economy,9.1,7,0,0
F1221,DFW,JFK,8/18/2023 11:53,262,Cancelled,1198,Emergency,Economy,5.8,8,0,0
F117,DFW,SFO,8/14/2023 12:46,187,On-time,986,Leisure,Economy,6.5,16,0,0
F807,ATL,LAX,6/25/2024 8:10,291,On-time,1030,Leisure,Economy,7.7,3,0,0
F657,ATL,LAX,10/16/2024 9:50,92,On-time,1231,Emergency,Economy,4.2,0,0,0
F1353,JFK,ATL,11/15/2023 21:25,182,Delayed,938,Family,Economy,9.4,13,0,0
F1179,LAX,DEN,11/14/2023 6:00,92,On-time,1458,Business,Economy,8.5,0,0,1
F1036,DFW,ATL,4/18/2025 1:08,179,On-time,925,Leisure,Economy,6.7,28,0,0
F229,SFO,SEA,12/13/2023 6:55,218,On-time,1241,Emergency,Business,7.3,14,0,0
F1553,ORD,DEN,3/31/2024 8:11,158,On-time,1134,Leisure,Economy,8,8,0,0
F1759,LAX,ORD,8/28/2023 2:18,165,On-time,1479,Leisure,Economy,8.5,9,0,0
F726,JFK,DFW,1/20/2025 5:45,89,Cancelled,1096,Business,Premium Economy,6.2,1,0,0
F121,DEN,SFO,1/16/2025 0:19,261,Delayed,1301,Family,Economy,9.1,6,0,0
F1441,JFK,DEN,6/5/2023 23:34,145,On-time,1441,Family,Premium Economy,8.4,26,0,0
F1698,DEN,JFK,5/23/2023 17:58,268,On-time,1286,Emergency,Economy,4.9,11,0,0
F362,SEA,DFW,11/12/2023 21:50,186,On-time,1212,Business,Economy,8.5,13,0,0
F1577,SEA,LAX,2/9/2025 16:35,193,On-time,1204,Leisure,Premium Economy,8,8,0,0
F670,JFK,JFK,2/7/2024 2:13,29,On-time,703,Family,Premium Economy,8.5,2,0,1
F1540,ATL,ATL,10/11/2023 12:39,173,On-time,1071,Business,Business,5.6,5,0,1
F1222,DFW,SFO,5/16/2024 12:49,59,Delayed,898,Emergency,Economy,3,18,0,1
F1537,DFW,DEN,11/18/2024 12:59,77,On-time,1149,Family,Economy,5.2,15,0,0
F1982,ORD,ATL,6/28/2023 10:28,115,On-time,1188,Leisure,Economy,6.8,12,0,0
F1995,ATL,DEN,9/10/2024 8:04,261,On-time,1143,Leisure,Economy,9.3,3,0,0
F571,SFO,ORD,1/12/2024 19:55,157,On-time,974,Family,Economy,6.1,2,0,0
F1972,JFK,DFW,2/1/2025 3:06,233,On-time,1440,Emergency,Premium Economy,10,8,0,0
F959,SEA,LAX,10/1/2023 19:16,180,Delayed,1101,Leisure,Premium Economy,8,51,0,0
F237,DEN,ATL,4/10/2025 4:15,216,On-time,803,Family,Economy,6.7,5,0,0
F1,DFW,SEA,2/17/2024 13:14,168,On-time,1388,Emergency,Premium Economy,6.1,56,1,0
F444,ATL,LAX,11/13/2023 3:11,275,On-time,1242,Business,Premium Economy,9,1,0,0
F1874,LAX,DEN,7/12/2023 7:10,181,On-time,1097,Business,Premium Economy,7.7,4,0,0
F109,LAX,JFK,2/19/2024 18:47,148,On-time,1452,Business,Economy,8.3,22,0,0
F530,DFW,ORD,12/1/2024 2:09,93,Delayed,1698,Business,Economy,8.7,2,0,0
F1668,LAX,DEN,6/1/2023 7:19,147,On-time,1589,Business,Premium Economy,5.6,6,0,0
F751,SEA,ORD,10/2/2023 13:56,98,On-time,1058,Leisure,Premium Economy,7.3,9,0,0
F1731,SEA,DFW,9/30/2023 21:20,274,Delayed,1483,Family,Economy,5.2,5,0,1
F1956,SEA,DFW,12/19/2023 5:14,182,Delayed,1298,Emergency,Economy,6.4,8,0,0
F899,LAX,DFW,9/9/2023 10:02,229,On-time,595,Leisure,Economy,7,19,0,0
F1648,DEN,ATL,4/14/2024 18:13,205,On-time,1572,Leisure,Economy,7.5,11,0,0
F771,DFW,DFW,11/13/2024 20:10,282,On-time,1074,Family,Economy,4.4,7,0,0
F826,ATL,SEA,4/11/2024 4:24,230,On-time,1585,Business,Premium Economy,6.9,3,0,0
F1892,ATL,DEN,8/26/2023 15:03,174,On-time,1263,Business,Premium Economy,9,0,0,0
F1831,ORD,DFW,5/6/2023 20:07,198,On-time,1022,Family,Premium Economy,6.4,10,0,0
F1272,ORD,DEN,3/14/2025 20:19,176,On-time,859,Emergency,Economy,7.6,8,0,0
F1993,ATL,ORD,5/6/2024 7:46,173,On-time,950,Leisure,Economy,6.8,11,0,0
F1742,JFK,SEA,12/20/2023 12:20,153,On-time,1061,Business,Economy,6.5,3,0,1
F1367,LAX,DEN,6/25/2024 4:17,167,On-time,1178,Emergency,Business,7.4,24,0,0
F740,DEN,DEN,4/12/2024 4:12,201,On-time,1042,Leisure,Premium Economy,6.5,22,0,1
F36,DFW,DFW,12/1/2024 6:57,193,On-time,1434,Family,Economy,7.8,4,0,0
F1141,JFK,ATL,3/18/2024 3:44,256,On-time,895,Emergency,Premium Economy,8.6,7,0,1
F582,ORD,LAX,9/23/2024 20:10,227,On-time,1566,Leisure,Economy,7.6,8,0,0
F660,ATL,DFW,11/1/2024 18:01,172,On-time,749,Family,Economy,5.9,4,0,0
F832,SFO,DFW,1/30/2025 14:45,243,On-time,611,Emergency,Economy,7.5,16,0,0
F1776,LAX,LAX,11/24/2023 2:48,175,Delayed,1262,Business,Economy,8.2,23,1,0
F495,JFK,DEN,6/21/2023 13:52,145,Delayed,1093,Family,Economy,4.9,5,0,0
F405,ORD,SEA,8/23/2024 2:59,200,On-time,1180,Business,Economy,5.1,0,0,0
F60,ORD,SFO,6/10/2024 10:46,160,Cancelled,1101,Emergency,Economy,3,4,0,1
F1659,DFW,DFW,12/17/2023 10:50,121,On-time,836,Business,Economy,7.6,1,0,0
F589,DFW,LAX,3/18/2024 22:45,197,On-time,999,Leisure,Premium Economy,8.5,32,0,0
F116,SFO,JFK,10/1/2023 13:07,249,On-time,1468,Business,Economy,6.3,4,0,0
F159,ORD,SEA,5/12/2024 5:39,250,Delayed,1436,Leisure,Economy,4.1,2,0,0
F1291,ATL,ATL,5/4/2023 14:50,254,On-time,1216,Emergency,Business,5.9,7,0,0
F1829,LAX,DEN,10/11/2023 22:09,111,Delayed,921,Emergency,Economy,7.5,23,0,0
F561,LAX,LAX,11/7/2024 22:46,158,Cancelled,1275,Family,Economy,8,15,0,0
F1104,SFO,ORD,3/24/2025 7:35,209,Delayed,1142,Leisure,Business,7.1,5,0,1
F619,DEN,DEN,7/6/2023 5:31,131,On-time,1361,Emergency,Economy,7.2,47,0,0
F146,SEA,SEA,5/15/2023 1:27,221,On-time,889,Business,Economy,6,10,0,0
F1655,DEN,JFK,8/2/2024 17:46,215,On-time,1439,Emergency,First,8.3,22,0,0
F542,SFO,SFO,9/17/2023 7:54,194,On-time,877,Leisure,Economy,6.5,1,0,0
F121,LAX,ORD,9/29/2023 1:35,125,Delayed,666,Leisure,Economy,5.9,28,0,1
F1320,DEN,SEA,4/3/2024 17:13,244,On-time,1305,Emergency,First,4.9,1,0,0
F866,DFW,DFW,11/10/2024 4:44,205,On-time,1827,Leisure,Economy,5.5,5,0,0
F292,ATL,JFK,4/4/2025 15:26,161,On-time,1390,Emergency,Economy,6.7,1,0,0
F1328,LAX,ORD,2/22/2024 20:02,104,On-time,901,Family,Economy,5.7,4,0,0
F910,ATL,DEN,7/27/2024 12:19,157,Delayed,1073,Leisure,Economy,6.6,1,0,0
F15,DEN,ORD,10/27/2023 12:24,202,On-time,1303,Emergency,Economy,7.8,15,0,0
F249,DEN,DFW,9/9/2023 23:52,131,On-time,1592,Family,Economy,9.7,1,1,0
F967,SFO,JFK,10/12/2024 21:37,105,On-time,1518,Business,Premium Economy,5.9,10,0,1
F894,SFO,ATL,3/8/2024 1:25,242,On-time,950,Family,Business,8.3,3,0,0
F1596,ATL,DEN,3/14/2025 14:00,133,Cancelled,925,Emergency,Economy,9.5,7,0,0
F1029,SEA,SEA,4/26/2024 2:25,261,On-time,1094,Business,Premium Economy,7.6,6,0,0
F590,JFK,SFO,7/7/2024 2:14,146,On-time,1255,Business,Business,7.2,5,0,0
F1014,LAX,DFW,5/26/2023 10:35,156,On-time,1107,Emergency,Economy,7.6,3,1,0
F472,SFO,ATL,11/16/2023 3:31,145,Delayed,979,Leisure,Economy,7.4,0,1,0
F1697,JFK,SEA,12/7/2023 12:28,204,Delayed,985,Leisure,Economy,5.6,9,0,0
F1043,SEA,LAX,12/28/2023 10:40,155,On-time,832,Family,Economy,8.2,2,0,1
F1965,DFW,LAX,11/26/2024 21:32,237,On-time,1775,Emergency,Economy,6.8,6,0,1
F1475,ATL,ORD,4/29/2024 5:54,140,On-time,1306,Leisure,Premium Economy,7.6,6,0,0
F1349,SEA,ORD,7/31/2023 1:34,117,On-time,1450,Family,Premium Economy,8.8,3,0,0
F539,DFW,DEN,10/27/2024 11:28,252,On-time,1480,Family,Economy,6,1,0,0
F1332,LAX,SEA,12/5/2023 10:17,208,Cancelled,1130,Leisure,Economy,4.8,12,0,0
F940,JFK,SEA,6/22/2024 4:31,264,Delayed,1103,Family,Economy,8.8,5,0,0
F913,ATL,ATL,4/11/2025 17:28,94,On-time,1395,Leisure,Economy,7.1,22,0,0
F1539,SEA,ORD,2/16/2024 15:15,200,On-time,1294,Emergency,Business,5.7,7,0,0
F1437,SFO,ORD,7/19/2023 21:38,164,On-time,1125,Emergency,Economy,5.9,0,0,0
F345,SFO,LAX,4/3/2024 23:05,189,On-time,837,Emergency,Business,9,11,0,0
F349,LAX,LAX,5/11/2023 17:08,191,On-time,1288,Business,Economy,7.5,6,0,1
F747,JFK,SFO,7/8/2023 15:21,255,On-time,1044,Family,Economy,7.5,1,0,0
F1572,LAX,SFO,12/26/2024 0:15,132,On-time,935,Leisure,Premium Economy,8.5,13,0,0
F33,ORD,SFO,7/19/2024 18:07,168,On-time,1251,Family,Economy,5,8,0,1
F1202,DFW,ORD,1/28/2024 10:20,143,On-time,1496,Family,Economy,6.7,27,0,0
F1104,LAX,SFO,12/27/2024 6:16,217,On-time,839,Leisure,Premium Economy,7.2,15,0,0
F1672,DEN,SFO,4/11/2025 15:06,188,On-time,1352,Leisure,Economy,8.7,12,0,0
F36,LAX,DEN,10/19/2024 15:45,286,On-time,1903,Leisure,Economy,7.1,3,0,0
F101,ORD,DFW,5/21/2023 20:12,152,On-time,1072,Emergency,Business,9.1,19,0,0
F1632,ATL,ATL,12/9/2023 20:31,172,On-time,1369,Business,Business,6.4,37,0,0
F367,DFW,SEA,6/28/2023 15:51,252,On-time,615,Leisure,Premium Economy,8.1,3,1,0
F467,ATL,DEN,5/12/2024 0:28,145,Delayed,1025,Leisure,Premium Economy,6.5,18,0,0
F1873,DFW,LAX,11/4/2024 5:44,181,On-time,1249,Leisure,Economy,5.5,6,0,0
F1775,ORD,ATL,7/19/2024 14:07,204,On-time,1568,Leisure,Economy,10,4,0,0
F1924,LAX,ORD,6/6/2024 13:14,319,On-time,1294,Family,Economy,5.6,3,0,0
F1557,SEA,DFW,10/3/2023 9:15,225,On-time,1136,Emergency,Premium Economy,6.1,13,0,1
F1675,ATL,DFW,11/12/2023 11:19,203,On-time,1780,Family,Economy,4.6,7,0,1
F1414,DFW,JFK,2/26/2024 8:20,181,Cancelled,725,Emergency,Business,3.1,19,0,0
F56,ATL,ORD,6/6/2024 18:03,172,On-time,1488,Business,Business,8.8,11,0,0
F437,LAX,DFW,9/22/2023 2:27,283,On-time,1529,Family,Economy,6,7,0,1
F782,DFW,LAX,12/4/2024 11:48,178,On-time,1387,Family,Economy,4.4,1,0,0
F1880,JFK,SFO,2/22/2024 13:48,197,On-time,1491,Business,Economy,7.3,5,0,0
F1236,ATL,SEA,7/5/2024 0:20,160,On-time,1302,Emergency,Economy,7.6,3,0,0
F1015,LAX,SFO,6/13/2024 7:10,132,On-time,968,Business,Premium Economy,8.2,13,0,0
F1695,ATL,ORD,4/20/2024 21:25,205,On-time,1029,Leisure,Economy,8,0,0,0
F1166,ORD,JFK,3/17/2025 12:41,223,Delayed,1326,Leisure,Economy,8.2,12,0,0
F1027,ORD,LAX,4/15/2025 21:43,169,On-time,777,Leisure,Business,3.5,4,0,0
F43,LAX,DFW,5/15/2024 8:06,167,On-time,1222,Emergency,Premium Economy,8.1,1,0,0
F1017,SFO,LAX,5/30/2024 14:31,127,On-time,1027,Family,Economy,4.7,16,0,0
F1990,DEN,DFW,9/21/2023 9:17,224,Delayed,1126,Emergency,Premium Economy,6.1,5,0,0
F1336,ORD,DEN,9/4/2024 11:42,442,On-time,1470,Emergency,Economy,10,17,0,0
F1555,SEA,JFK,1/31/2025 0:06,38,On-time,907,Family,Economy,6.7,14,0,0
F807,DEN,ORD,4/19/2025 8:23,219,On-time,1572,Business,Economy,7.2,22,0,0
F1492,SEA,ORD,5/1/2024 5:49,228,On-time,812,Leisure,Premium Economy,5.1,1,0,0
F711,SFO,DEN,9/17/2023 21:47,154,On-time,1562,Business,Premium Economy,8.6,0,0,1
F506,LAX,DFW,10/28/2023 3:30,266,Delayed,1076,Leisure,Economy,7.1,3,0,0
F295,DFW,SFO,11/15/2023 4:47,192,Delayed,897,Emergency,Premium Economy,5.2,2,0,0
